HKLDE MSRWD 0.4545454545454546
HKLDO WSRWZ 0.5454545454545455
HKLDO WSRWD 0.6363636363636365
HKUDO WSRWD 0.5454545454545455
HKLDO LSLWD 0.4545454545454546
HKLDO WSRWO 0.5454545454545455
HKLDO WSRWD 0.6363636363636365
HKLDO WSRWD 0.6363636363636365
HKLDO WSRWD 0.6363636363636365
HKLDO WSCWD 0.5454545454545455
ZKLDO WSRWD 0.5454545454545455
HKLDO ISRWD 0.5454545454545455
HKLDO WSRWD 0.6363636363636365
HKLDO WSRWD 0.6363636363636365
HKLDO WSRWX 0.5454545454545455
HKLDO WSRWD 0.6363636363636365
HKLDI WSRWD 0.5454545454545455
HKLDO WSRWD 0.6363636363636365
HKLDO WSRWD 0.6363636363636365
HKLDO WSRWD 0.6363636363636365

